source_file	kind	raw	target
wiki/speech/0620 计划与进展.md	wiki	[[Dan Koe 人生就四件事]]	Dan Koe 人生就四件事
wiki/speech/0620 计划与进展.md	wiki	[[一文读懂 Agent、harness、Loop 等概念]]	一文读懂 Agent、harness、Loop 等概念
wiki/speech/0620 计划与进展.md	wiki	[[Zynga 创始人先抄对再创新]]	Zynga 创始人先抄对再创新
wiki/speech/Dan Koe 人生就四件事.md	wiki	[[0620 计划与进展]]	0620 计划与进展
wiki/speech/Dan Koe 人生就四件事.md	wiki	[[idea-fragments]]	idea-fragments
wiki/speech/Dan Koe 人生就四件事.md	wiki	[[设计方法论]]	设计方法论
wiki/speech/Dan Koe 人生就四件事.md	md	[raw/小红书/Dan Koe 人生就四件事_6a17099700000000070210da.md](../../raw/小红书/Dan-Koe人生就四件事其余全是噪音_6a17099700000000070210da.md)	../../raw/小红书/Dan-Koe人生就四件事其余全是噪音_6a17099700000000070210da.md
wiki/speech/Zynga 创始人先抄对再创新.md	wiki	[[Dan Koe 人生就四件事]]	Dan Koe 人生就四件事
wiki/speech/Zynga 创始人先抄对再创新.md	wiki	[[High-Performance Teams in the Age of AI]]	High-Performance Teams in the Age of AI
wiki/speech/Zynga 创始人先抄对再创新.md	wiki	[[AI Agent 开发]]	AI Agent 开发
wiki/speech/Zynga 创始人先抄对再创新.md	wiki	[[0620 计划与进展]]	0620 计划与进展
wiki/speech/Zynga 创始人先抄对再创新.md	md	[raw/小红书/Zynga 创始人先抄对再创新_6a31046d0000000011010e16.md](../../raw/小红书/Zynga%20创始人先抄对再创新_6a31046d0000000011010e16.md)	../../raw/小红书/Zynga%20创始人先抄对再创新_6a31046d0000000011010e16.md
wiki/speech/idea-fragments.md	wiki	[[设计素材周刊-014]]	设计素材周刊-014
wiki/speech/new-sources.md	md	[`Cubox/OpenAI大神教你如何榨干Codex-2026-05-23.md`](../../Cubox/OpenAI大神教你如何榨干Codex-2026-05-23.md)	../../Cubox/OpenAI大神教你如何榨干Codex-2026-05-23.md
wiki/speech/new-sources.md	md	[`Cubox/设计走查这个苦活，我终于用AI跑通了全自动-2026-06-01.md`](../../Cubox/设计走查这个苦活，我终于用AI跑通了全自动-2026-06-01.md)	../../Cubox/设计走查这个苦活，我终于用AI跑通了全自动-2026-06-01.md
wiki/speech/new-sources.md	md	[`Cubox/Agentic Workflow：AI重塑了我的工作流-2026-06-03.md`](../../Cubox/Agentic%20Workflow：AI重塑了我的工作流-2026-06-03.md)	../../Cubox/Agentic%20Workflow：AI重塑了我的工作流-2026-06-03.md
wiki/speech/new-sources.md	md	[`Cubox/HTML版剪映来了！…-2026-06-08.md`](../../Cubox/HTML版剪映来了！Open%20Design%20团队最新开源力作，3天时间，写了3万行代码！-2026-06-08.md)	../../Cubox/HTML版剪映来了！Open%20Design%20团队最新开源力作，3天时间，写了3万行代码！-2026-06-08.md
wiki/speech/new-sources.md	md	[`Cubox/Claude Code之父：「品味」不是人类护城河…`](../../Cubox/Claude%20Code之父：「品味」不是人类护城河；当工程师不再写代码，招聘看什么？-2026-06-07.md)	../../Cubox/Claude%20Code之父：「品味」不是人类护城河；当工程师不再写代码，招聘看什么？-2026-06-07.md
wiki/speech/new-sources.md	md	[`Cubox/Claude 设计负责人：下一个 10 年…`](../../Cubox/Claude%20设计负责人：下一个%2010%20年，这%203%20个能力最重要-2026-06-06.md)	../../Cubox/Claude%20设计负责人：下一个%2010%20年，这%203%20个能力最重要-2026-06-06.md
